,Płeć,Kategoria wiekowa,Rocznik,Czas_na_5km,Czas_na_10km,Czas_na_15km,Czas_półmaratonu,Wiek
12102,1,6,2003,1741,3376,5028,7025,21
12017,0,0,2003,1521,3046,4726,7001,21
11982,1,6,2003,1688,3302,4993,6994,21
11914,1,6,2003,1649,3256,4911,6975,21
11812,1,6,2003,1624,3184,4857,6951,21
11703,1,6,2003,1452,3020,4719,6924,21
11699,1,6,2003,1694,3275,4927,6924,21
11377,1,6,2003,1487,2936,4607,6835,21
11251,1,6,2003,1573,3145,4792,6800,21
10957,1,6,2003,1477,3054,4689,6699,21
10932,1,6,2003,1599,3149,4779,6692,21
10774,1,6,2003,1480,2989,4621,6634,21
10672,1,6,2003,1675,3218,4763,6596,21
10668,1,6,2003,1476,2935,4479,6595,21
10590,1,6,2003,1593,3097,4615,6576,21
10573,1,6,2003,1609,3117,4690,6571,21
10516,1,6,2003,1628,3116,4600,6552,21
10499,0,0,2003,1547,3034,4583,6545,21
10387,1,6,2003,1481,2929,4481,6510,21
10284,0,0,2003,1529,3037,4599,6476,21
10189,1,6,2003,1399,2780,4292,6441,21
10169,1,6,2003,1483,2921,4446,6436,21
10166,1,6,2003,1419,2842,4353,6434,21
9966,1,6,2003,1416,2795,4302,6359,21
9883,1,6,2003,1481,2934,4444,6325,21
9869,1,6,2003,1368,2809,4380,6319,21
9749,1,6,2003,1470,2918,4425,6286,21
9388,1,6,2003,1472,2916,4375,6108,21
9023,1,6,2003,1412,2735,4128,5936,21
8935,0,0,2003,1382,2721,4108,5877,21
8591,1,6,2003,1275,2540,3933,5614,21
8286,1,6,2003,1230,2423,3693,5243,21
8245,1,6,2003,1253,2464,3692,5174,21
8233,1,6,2003,1128,2264,3456,5122,21
7959,1,6,2003,2020,4058,6385,10261,21
7916,1,6,2003,1944,4171,6445,10056,21
7219,0,0,2003,1947,4014,6219,8974,21
7134,1,6,2003,1644,3507,5668,8874,21
6891,0,0,2003,1756,3630,5732,8664,21
6752,0,0,2003,1876,3826,5888,8554,21
6540,0,0,2003,2051,3976,5919,8391,21
6513,0,0,2003,1665,3403,5365,8372,21
6293,0,0,2003,1777,3558,5500,8215,21
6288,1,6,2003,1749,3544,5550,8210,21
6011,1,6,2003,1849,3690,5604,8035,21
5708,1,6,2003,1724,3496,5348,7887,21
5252,0,0,2003,1673,3395,5239,7673,21
4859,0,0,2003,1609,3295,5100,7503,21
4557,1,6,2003,1818,3547,5306,7386,21
4407,0,0,2003,1613,3273,5054,7325,21
4356,1,6,2003,1579,3158,4813,7306,21
4178,0,0,2003,1775,3523,5225,7241,21
3927,1,6,2003,1430,2914,4596,7165,21
3883,0,0,2003,1723,3349,5038,7155,21
3868,1,6,2003,1575,3216,4921,7152,21
3642,1,6,2003,1629,3233,4907,7081,21
3098,1,6,2003,1532,3106,4734,6897,21
3015,1,6,2003,1607,3183,4821,6869,21
2823,1,6,2003,1636,3160,4709,6804,21
2384,0,0,2003,1538,3031,4561,6626,21
2290,1,6,2003,1625,3164,4735,6598,21
2174,1,6,2003,1633,3161,4654,6557,21
1961,1,6,2003,1632,3160,4652,6483,21
1810,1,6,2003,1423,2803,4334,6418,21
1388,1,6,2003,1378,2741,4242,6239,21
1252,1,6,2003,1375,2743,4200,6179,21
1196,1,6,2003,1453,2916,4378,6152,21
1180,1,6,2003,1465,2919,4438,6144,21
1062,1,6,2003,1378,2743,4204,6080,21
848,1,6,2003,1353,2730,4153,5947,21
734,1,6,2003,1361,2696,4079,5881,21
699,1,6,2003,1378,2745,4156,5850,21
608,1,6,2003,1299,2571,3968,5751,21
593,0,0,2003,1250,2529,3911,5733,21
68,1,6,2003,1097,2208,3384,4895,21
18351,0,0,2002,2269,4793,7553,11338,22
18293,1,6,2002,2195,4557,7302,10805,22
18292,0,0,2002,2201,4558,7303,10804,22
18252,0,0,2002,2065,4056,6570,10587,22
18179,1,6,2002,2117,4250,6694,10341,22
18117,0,0,2002,2129,4357,6819,10169,22
18100,0,0,2002,2183,4230,6641,10111,22
18088,0,0,2002,2150,4384,6844,10090,22
18018,0,0,2002,2109,4429,6857,9923,22
17981,1,6,2002,2068,4185,6678,9846,22
17880,0,0,2002,2094,4256,6609,9680,22
